Natural  	 natural 
language  	 language 
processing 	 process
 	 
 	 
 	 
From  	 from 
Wikipedia,  	 wikipedia, 
the  	 the 
free  	 free 
encyclopedia 	 encyclopedia
 	 
 	 
 	 
 	 
 	 
 	 
 	 
Natural  	 natural 
language  	 language 
processing  	 processing 
(NLP)  	 (nlp) 
is  	 is 
a  	 a 
field  	 field 
of  	 of 
computer  	 computer 
science,  	 science, 
artificial  	 artificial 
intelligence,  	 intelligence, 
and  	 and 
linguistics  	 linguistics 
concerned  	 concerned 
with  	 with 
the  	 the 
interactions  	 interactions 
between  	 between 
computers  	 computers 
and  	 and 
human  	 human 
(natural)  	 (natural) 
languages.  	 languages. 
 	 
As  	 as 
such,  	 such, 
NLP  	 nlp 
is  	 is 
related  	 related 
to  	 to 
the  	 the 
area  	 area 
of  	 of 
humani-computer  	 humani-computer 
interaction.  	 interaction. 
 	 
Many  	 many 
challenges  	 challenges 
in  	 in 
NLP  	 nlp 
involve  	 involve 
natural  	 natural 
language  	 language 
understanding,  	 understanding, 
that  	 that 
is,  	 is, 
enabling  	 enabling 
computers  	 computers 
to  	 to 
derive  	 derive 
meaning  	 meaning 
from  	 from 
human  	 human 
or  	 or 
natural  	 natural 
language  	 language 
input,  	 input, 
and  	 and 
others  	 others 
involve  	 involve 
natural  	 natural 
language  	 language 
generation. 	 generation.
 	 
 	 
 	 
 	 
 	 
 	 
 	 
History 	 histori
 	 
 	 
 	 
 	 
 	 
 	 
 	 
The  	 the 
history  	 history 
of  	 of 
NLP  	 nlp 
generally  	 generally 
starts  	 starts 
in  	 in 
the  	 the 
1950s,  	 1950s, 
although  	 although 
work  	 work 
can  	 can 
be  	 be 
found  	 found 
from  	 from 
earlier  	 earlier 
periods.  	 periods. 
 	 
In  	 in 
1950,  	 1950, 
Alan  	 alan 
Turing  	 turing 
published  	 published 
an  	 an 
article  	 article 
titled  	 titled 
"Computing  	 "computing 
Machinery  	 machinery 
and  	 and 
Intelligence"  	 intelligence" 
which  	 which 
proposed  	 proposed 
what  	 what 
is  	 is 
now  	 now 
called  	 called 
the  	 the 
Turing  	 turing 
test  	 test 
as  	 as 
a  	 a 
criterion  	 criterion 
of  	 of 
intelligence. 	 intelligence.
 	 
 	 
 	 
 	 
 	 
 	 
 	 
The  	 the 
Georgetown  	 georgetown 
experiment  	 experiment 
in  	 in 
1954  	 1954 
involved  	 involved 
fully  	 fully 
automatic  	 automatic 
translation  	 translation 
of  	 of 
more  	 more 
than  	 than 
sixty  	 sixty 
Russian  	 russian 
sentences  	 sentences 
into  	 into 
English.  	 english. 
 	 
The  	 the 
authors  	 authors 
claimed  	 claimed 
that  	 that 
within  	 within 
three  	 three 
or  	 or 
five  	 five 
years,  	 years, 
machine  	 machine 
translation  	 translation 
would  	 would 
be  	 be 
a  	 a 
solved  	 solved 
problem.  	 problem. 
 	 
However,  	 however, 
real  	 real 
progress  	 progress 
was  	 was 
much  	 much 
slower,  	 slower, 
and  	 and 
after  	 after 
the  	 the 
ALPAC  	 alpac 
report  	 report 
in  	 in 
1966,  	 1966, 
which  	 which 
found  	 found 
that  	 that 
ten  	 ten 
year  	 year 
long  	 long 
research  	 research 
had  	 had 
failed  	 failed 
to  	 to 
fulfill  	 fulfill 
the  	 the 
expectations,  	 expectations, 
funding  	 funding 
for  	 for 
machine  	 machine 
translation  	 translation 
was  	 was 
dramatically  	 dramatically 
reduced.  	 reduced. 
 	 
Little  	 little 
further  	 further 
research  	 research 
in  	 in 
machine  	 machine 
translation  	 translation 
was  	 was 
conducted  	 conducted 
until  	 until 
the  	 the 
late  	 late 
1980s,  	 1980s, 
when  	 when 
the  	 the 
first  	 first 
statistical  	 statistical 
machine  	 machine 
translation  	 translation 
systems  	 systems 
were  	 were 
developed. 	 developed.
 	 
 	 
 	 
 	 
 	 
 	 
 	 
Some  	 some 
notably  	 notably 
successful  	 successful 
NLP  	 nlp 
systems  	 systems 
developed  	 developed 
in  	 in 
the  	 the 
1960s  	 1960s 
were  	 were 
SHRDLU,  	 shrdlu, 
a  	 a 
natural  	 natural 
language  	 language 
system  	 system 
working  	 working 
in  	 in 
restricted  	 restricted 
"blocks  	 "blocks 
worlds"  	 worlds" 
with  	 with 
restricted  	 restricted 
vocabularies,  	 vocabularies, 
and  	 and 
ELIZA,  	 eliza, 
a  	 a 
simulation  	 simulation 
of  	 of 
a  	 a 
Rogerian  	 rogerian 
psychotherapist,  	 psychotherapist, 
written  	 written 
by  	 by 
Joseph  	 joseph 
Weizenbaum  	 weizenbaum 
between  	 between 
1964  	 1964 
to  	 to 
1966.  	 1966. 
 	 
Using  	 using 
almost  	 almost 
no  	 no 
information  	 information 
about  	 about 
human  	 human 
thought  	 thought 
or  	 or 
emotion,  	 emotion, 
ELIZA  	 eliza 
sometimes  	 sometimes 
provided  	 provided 
a  	 a 
startlingly  	 startlingly 
human-like  	 human-like 
interaction.  	 interaction. 
 	 
When  	 when 
the  	 the 
"patient"  	 "patient" 
exceeded  	 exceeded 
the  	 the 
very  	 very 
small  	 small 
knowledge  	 knowledge 
base,  	 base, 
ELIZA  	 eliza 
might  	 might 
provide  	 provide 
a  	 a 
generic  	 generic 
response,  	 response, 
for  	 for 
example,  	 example, 
responding  	 responding 
to  	 to 
"My  	 "my 
head  	 head 
hurts"  	 hurts" 
with  	 with 
"Why  	 "why 
do  	 do 
you  	 you 
say  	 say 
your  	 your 
head  	 head 
hurts?". 	 hurts?".
 	 
 	 
 	 
 	 
 	 
 	 
 	 
During  	 during 
the  	 the 
1970s  	 1970s 
many  	 many 
programmers  	 programmers 
began  	 began 
to  	 to 
write  	 write 
'conceptual  	 'conceptual 
ontologies',  	 ontologies', 
which  	 which 
structured  	 structured 
real-world  	 real-world 
information  	 information 
into  	 into 
computer-understandable  	 computer-understandable 
data.  	 data. 
 	 
Examples  	 examples 
are  	 are 
MARGIE  	 margie 
(Schank,  	 (schank, 
1975),  	 1975), 
SAM  	 sam 
(Cullingford,  	 (cullingford, 
1978),  	 1978), 
PAM  	 pam 
(Wilensky,  	 (wilensky, 
1978),  	 1978), 
TaleSpin  	 talespin 
(Meehan,  	 (meehan, 
1976),  	 1976), 
QUALM  	 qualm 
(Lehnert,  	 (lehnert, 
1977),  	 1977), 
Politics  	 politics 
(Carbonell,  	 (carbonell, 
1979),  	 1979), 
and  	 and 
Plot  	 plot 
Units  	 units 
(Lehnert  	 (lehnert 
1981).  	 1981). 
 	 
During  	 during 
this  	 this 
time,  	 time, 
many  	 many 
chatterbots  	 chatterbots 
were  	 were 
written  	 written 
including  	 including 
PARRY,  	 parry, 
Racter,  	 racter, 
and  	 and 
Jabberwacky. 	 jabberwacky.
 	 
 	 
 	 
 	 
 	 
 	 
 	 
Up  	 up 
to  	 to 
the  	 the 
1980s,  	 1980s, 
most  	 most 
NLP  	 nlp 
systems  	 systems 
were  	 were 
based  	 based 
on  	 on 
complex  	 complex 
sets  	 sets 
of  	 of 
hand-written  	 hand-written 
rules.  	 rules. 
 	 
Starting  	 starting 
in  	 in 
the  	 the 
late  	 late 
1980s,  	 1980s, 
however,  	 however, 
there  	 there 
was  	 was 
a  	 a 
revolution  	 revolution 
in  	 in 
NLP  	 nlp 
with  	 with 
the  	 the 
introduction  	 introduction 
of  	 of 
machine  	 machine 
learning  	 learning 
algorithms  	 algorithms 
for  	 for 
language  	 language 
processing.  	 processing. 
 	 
This  	 this 
was  	 was 
due  	 due 
to  	 to 
both  	 both 
the  	 the 
steady  	 steady 
increase  	 increase 
in  	 in 
computational  	 computational 
power  	 power 
resulting  	 resulting 
from  	 from 
Moore's  	 moore's 
Law  	 law 
and  	 and 
the  	 the 
gradual  	 gradual 
lessening  	 lessening 
of  	 of 
the  	 the 
dominance  	 dominance 
of  	 of 
Chomskyan  	 chomskyan 
theories  	 theories 
of  	 of 
linguistics  	 linguistics 
(e.g.  	 (e.g. 
transformational  	 transformational 
grammar),  	 grammar), 
whose  	 whose 
theoretical  	 theoretical 
underpinnings  	 underpinnings 
discouraged  	 discouraged 
the  	 the 
sort  	 sort 
of  	 of 
corpus  	 corpus 
linguistics  	 linguistics 
that  	 that 
underlies  	 underlies 
the  	 the 
machine-learning  	 machine-learning 
approach  	 approach 
to  	 to 
language  	 language 
processing.  	 processing. 
 	 
Some  	 some 
of  	 of 
the  	 the 
earliest-used  	 earliest-used 
machine  	 machine 
learning  	 learning 
algorithms,  	 algorithms, 
such  	 such 
as  	 as 
decision  	 decision 
trees,  	 trees, 
produced  	 produced 
systems  	 systems 
of  	 of 
hard  	 hard 
if-then  	 if-then 
rules  	 rules 
similar  	 similar 
to  	 to 
existing  	 existing 
hand-written  	 hand-written 
rules.  	 rules. 
 	 
However,  	 however, 
Part  	 part 
of  	 of 
speech  	 speech 
tagging  	 tagging 
introduced  	 introduced 
the  	 the 
use  	 use 
of  	 of 
Hidden  	 hidden 
Markov  	 markov 
Models  	 models 
to  	 to 
NLP,  	 nlp, 
and  	 and 
increasingly,  	 increasingly, 
research  	 research 
has  	 has 
focused  	 focused 
on  	 on 
statistical  	 statistical 
models,  	 models, 
which  	 which 
make  	 make 
soft,  	 soft, 
probabilistic  	 probabilistic 
decisions  	 decisions 
